	Portugues	Українська	日本語	한국어	简体中文	繁體中文	UI language name
4437	Eu ficaria de olho, mas talvez nao me apressasse em nada.	Я б стежила, але не поспішала з рішеннями.	注視していきますが、焦って飛びつくのは避けた方が良いでしょう。	저 같으면 계속 주시할 텐데, 그렇다고 서두르실 필요는 없을지도요.	我会继续观察，现在先别着急行动。	我會繼續觀察，現在先別著急行動。	Amy
4438	Muito falatorio, mas onde esta o dinheiro? Eu continuaria cetico.	Багато розмов, але де гроші? Я б залишалась скептичною.	話題は多いですが、資金はどこにあるのでしょう？懐疑的な見方で注視していきたいと思います。	말은 번지르르한데 수익이 못 따라오네요? 솔직히 회의적입니다.	市场讨论倒是挺激烈的，但是资金在哪里呢？我持怀疑态度。	市場討論倒是挺激烈的，但是資金在哪裡呢？我持懷疑態度。	Amy
4439	Essa nao esta nas manchetes, mas provavelmente deveria estar. Pode ser uma joia escondida.	Про неї не пишуть заголовки, але, мабуть, варто було б. Може бути прихованою перлиною.	この銘柄はニュースの見出しには出ませんが、注目すべき掘り出し銘柄かもしれませんよ。	헤드라인을 장식하지 못하고 있어요. 진작 그랬어야 하는데. 어쩌면 숨겨진 보석일지도요.	这家公司并没有在大肆宣传，实际上他们应该这么做。这可能是一支潜力股。	這家公司並沒有在大肆宣傳，實際上他們應該這麼做。這可能是一支潛力股。	Amy
4440	A tendencia nao parece boa... Eu esperaria por enquanto.	Тренд невдалий... Я б поки почекала.	トレンドが良くないようですね…当面は様子見でしょう。	이거 추세가 좋아 보이지 않아요... 당분간은 관망하는 게 좋을지도.	势头不太妙……我建议先缓缓。	勢頭不太妙……我建議先緩緩。	Amy
4441	Infelizmente, esta empresa nao existe mais.	На жаль, цієї компанії більше не існує.	残念ながら、この会社はもう存在しません。	안타깝지만 이 기업은 더 이상 존재하지 않아요.	很遗憾，这家公司已经荡然无存了。	很遺憾，這家公司已經蕩然無存了。	Amy
4442	e uma empresa minuscula. Pode crescer, pode nao crescer.	Це дуже маленька компанія. Може вирости, а може й ні.	小さな会社です。成長するかもしれませんし、しないかもしれません。	작은 기업이죠. 성장할 수도, 아닐수도.	这是一家小型公司。也许以后会扩张，也许也不会，不好说。	這是一家小型公司。也許以後會擴張，也許也不會，不好說。	Amy
4443	Modesta em tamanho, mas vale a pena acompanhar.	Невелика за розміром, але варто стежити.	規模は小さいですが、注目する価値はあります。	규모는 보잘것 없지만 주시할 만한 가치는 있어 보여요.	规模中规中矩，但值得留意。	規模中規中矩，但值得留意。	Amy
4444	Esta e uma empresa de medio porte com espaco para crescer.	Це компанія середнього розміру з потенціалом для зростання.	成長の余地がある中規模企業です。	아직 성장의 여지가 있는 중견 기업입니다.	这是一家有成长空间的中型公司。	這是一家有成長空間的中型公司。	Amy
4445	e um grande player. Esta empresa tem alcance.	Це великий гравець. Ця компанія має вплив.	大手企業です。影響力があります。	이 정도면 대기업이죠. 커버하는 범위가 넓어요.	这是一家龙头，影响力很大。	這是一家龍頭，影響力很大。	Amy
4446	Um verdadeiro gigante. Quando se move, o mercado sente.	Справжній гігант. Коли вона рухається, ринок це відчуває.	真の巨人です。この会社が動くと市場も動きます。	이게 진짜 재벌이죠. 움직일 때마다 시장이 들썩거리니.	真正的行业巨头，一举一动都能牵动整个市场。	真正的行業巨頭，一舉一動都能牽動整個市場。	Amy
4447	Amy as vezes da dicas aleatorias sobre onde investir.	Емі іноді дає випадкові поради, куди інвестувати.	エイミが時々、どこに投資すべきかについてランダムにアドバイスをくれます。	메구미가 가끔씩 투자처에 관련된 무작위 팁을 제공합니다.	艾米有时会给予随机的投资建议。	艾米有時會給予隨機的投資建議。	UI about bonuses from Amy
4448	Estar perto da Amy melhora seu humor e reduz o estresse.	Присутність Емі піднімає настрій і знижує стрес.	エイミと一緒にいることで気分が上がり、ストレスも軽減されます。	메구미와 함께 있으면 기분이 좋아지고 스트레스가 줄어듭니다.	和艾米待在一起会提升心情并缓解压力。	和艾米待在一起會提升心情並紓解壓力。	UI about bonuses from Amy
4449	Voce pode fazer caminhadas com Amy.	Ви можете гуляти з Емі.	エイミと散歩に行くことができます。	메구미와 산책을 나갈 수 있습니다.	您可以和艾米一起散步了。	您可以和艾米一起散步了。	UI about bonuses from Amy
4450	Amy pode elaborar relatorios completos de qualquer empresa que voce escolher.	Емі може підготувати повні звіти про будь-яку компанію, яку ви оберете.	エイミが、あなたが選んだ会社についての詳細なレポートを出してくれます。	메구미는 선택한 기업의 전수 조사 보고서를 작성할 수 있습니다.	艾米可以为您选择的任何公司出具完整报告	艾米可以為您選擇的任何公司出具完整報告	UI about bonuses from Amy
4451	Se voce tiver um carro, Amy pode acompanha-lo em passeios de fim de semana.	Якщо у вас є авто, Емі може приєднатися до вас на поїздки вихідними.	車を持っていれば、週末のドライブにエイミが同行してくれるかもしれません。	자동차가 있다면 메구미와 주말 드라이브를 나갈 수 있습니다.	如果您有车，艾米也许会随您一起周末兜风。	如果您有車，艾米也許會隨您一起週末兜風。	UI about bonuses from Amy
4452	Amy pode escanear o mercado e encontrar os setores de melhor desempenho.	Емі може проаналізувати ринок і знайти найуспішніші сектори.	エイミが市場を分析し、最も好調な業界を見つけてくれます。	메구미가 시장을 분석하여 최고 실적을 올리는 분야를 찾을 수 있습니다.	艾米会扫描市场并找出发展最好的行业。	艾米會掃描市場並找出發展最好的行業。	UI about bonuses from Amy
4453	Amy ajuda a prever se um investimento tera sucesso ou fracassara.	Емі допомагає передбачити, чи буде інвестиція успішною чи провальною.	エイミが、投資が成功するか失敗するかを予測するお手伝いをしてくれます。	메구미가 투자 성공 또는 실패 여부를 예측하는데 도움을 줍니다.	艾米会帮助预测投资是否成功或失败。	艾米會幫助預測投資是否成功或失敗。	UI about bonuses from Amy
4454	A cada mes, Amy encontra uma casa rara com desconto a venda.	Щомісяця Емі знаходить один рідкісний будинок зі знижкою.	エイミが毎月、希少な値引き物件を1件見つけてくれます。	메구미가 매달마다 희귀한 할인 부동산 매물을 찾아냅니다.	每个月，艾米都会找到一处稀有的折扣房产。	每個月，艾米都會找到一處稀有的折扣房產。	UI about bonuses from Amy
4455	Amy da conselhos com mais frequencia.	Емі дає поради частіше.	エイミがより頻繁にアドバイスをくれます。	메구미가 조언을 더 자주 줍니다.	艾米会更频繁的提供建议。	艾米會更頻繁的提供建議。	UI about bonuses from Amy
4456	Amy tem mais tempo livre e pode trabalhar em sua empresa.	У Емі більше вільного часу, і вона може працювати у вашій компанії.	エイミにより多くの自由時間ができて、あなたの会社で働くことができます。	메구미가 자유시간을 더 많이 가지며 우리 기업에서 일할 수 있습니다.	艾米有了更多空暇时间在你公司效力。	艾米有了更多空暇時間在你公司效力。	UI about bonuses from Amy
4457	Tenho acompanhado as coisas... Se eu notar algo interessante no mercado, eu aviso.	Я стежу за ситуацією... Якщо помічу щось цікаве на ринку, повідомлю тобі.	状況を注視しています...市場で何か面白いものを見つけたら、お知らせします。	시장을 계속 주시하고 있어요... 흥미로운 걸 발견하면 바로 알려 드릴게요.	我一直在留意市场……如果我发现任何有趣的消息，我会告诉你的。	我一直在留意市場……如果我發現任何有趣的消息，我會告訴你的。	Amy
4458	Gosto de estar perto de voce. E parece que voce tambem se sente um pouco melhor quando conversamos. De agora em diante, vou tentar animar seu humor sempre que puder.	Мені подобається бути поруч із тобою. І, здається, тобі теж трохи краще, коли ми говоримо. Відтепер я намагатимусь піднімати тобі настрій, коли зможу.	チーフのそばにいるのが好きなんです。それに、二人でお話ししているとチーフも少し気分が良くなるみたいですね。これからは、できる限りチーフの気分が良くなるように努めますね。	전 사장님 곁에 있는 게 좋아요. 같이 대화하고 있으면 기분도 점점 나아지시는 것 같구. 이제부터는 제가 최대한 기분을 좋게 해드리려고 노력할게요.	我喜欢和您待在一起，而且似乎我们聊天的时候您看起来更开心些。从今往后，我会尽我所能让您高兴。	我喜歡和您待在一起，而且似乎我們聊天的時候您看起來更開心些。從今以後，我會盡我所能讓您高興。	Amy
4459	Voce tem trabalhado tanto... Se algum dia quiser dar uma caminhada, eu adoraria ir junto. Uma pequena pausa de vez em quando nao fara mal a nenhum de nos.	Ти так багато працюєш... Якщо захочеш прогулятися, я із задоволенням приєднаюся. Невелика перерва час від часу не зашкодить нікому з нас.	お仕事頑張りすぎじゃないですか…お散歩に行きたくなったら、私、喜んでご一緒します。たまには休憩しても誰も文句なんて言いませんよ。	사장님 요새 너무 많이 일하셨어요... 혹시 산책하고 싶으시면 저도 같이 갈래요. 가끔씩 쉬어 줘도 나쁘지 않아요.	您一直都在辛勤工作……如果您想散散心的话我愿意与您一道。偶尔休息下对我们都有帮助。	您一直都在辛勤工作……如果您想散散心的話我願意與您一道。偶爾休息一下對我們都有幫助。	Amy
4460	Voce confia em mim, certo? Entao quero ajudar de verdade. Agora consigo preparar relatorios completos de empresas para voce – precisarei contratar algumas pessoas, entao nao sera de graca, mas garanto que sera preciso.	Ти ж мені довіряєш, правда? Тоді я хочу допомогти як слід. Тепер я можу отримувати для тебе повні звіти по компаніях- доведеться найняти кількох людей, тож це буде не безкоштовно, але я забезпечу точність.	私を信頼してくれているのですよね？ なら、きちんとお手伝いしたいです。ご希望であれば企業レポートを入手できます。数人のスタッフを雇う必要があるので無料ではありませんが、情報の精度は保証します。	사장님, 저 믿으시죠? 그럼 제대로 도와드리고 싶어요. 이제부터 기업 전수 조사 보고서를 작성해 드릴 수 있어요. 사람을 좀 고용해야 해서 공짜는 아니지만, 그래도 정확성을 보장할 수 있지요.	您是信任我的，对吧？我想真的为您所用。我现在可以为您拿到完整的公司报告，但是我需要雇佣一些人手，因此获取报告不会是免费的，但我会确保报告的准确性。	您是信任我的，對吧？我想真的為您所用。我現在可以為您拿到完整的公司報告，但是我需要僱傭一些人手，因此獲取報告不會是免費的，但我會確保報告的準確性。	Amy
4461	Comecei a cruzar informacoes do mercado inteiro. Demorou um pouco para configurar, mas agora posso dizer quais setores estao realmente lucrando.	Я почала перевіряти весь ринок. Це зайняло трохи часу, але тепер я можу сказати, які сектори справді приносять гроші.	市場全体をクロスチェックし始めました。準備に少し時間がかかりましたが、今ならどの業界が本当に儲かっているのかお伝えできます。	시장 전체를 교차 점검해 보고 있어요. 구성에는 시간이 좀 걸렸지만 이제는 실제로 돈을 벌고 있는 분야를 확인할 수 있게 됐어요.	我已经开始对整个市场进行交叉核对了。虽然花了点时间来建立系统，但现在，我可以告诉您哪些行业是真正盈利的了。	我已經開始對整個市場進行交叉核對了。雖然花了點時間來建立系統，但現在，我可以告訴您哪些行業是真正盈利的了。	Amy
4462	Eu estava pensando... se algum dia sair para um passeio de fim de semana, talvez eu pudesse ir junto? Nao me importo em apenas sentar em silencio.	Я подумала... Якщо ти поїдеш кудись на вихідних, може, я приєднаюсь? Мені не складно просто тихо посидіти.	考えていたんですけど…チーフが週末にドライブに出かけるなら、私も一緒に行ってもいいかな？ 静かに座ってるだけでも私構いません。	생각을 좀 해 보았는데요... 사장님, 혹시 주말에 드라이브 가시려면 저도 같이 가도 될까요? 그냥 조용히 앉아 있어도 괜찮아요.	我在想……如果您周末要开车出去兜风的话，也许我可以一起去吗？只是安安静静地坐在旁边我也愿意。	我在想……如果您週末要開車出去兜風的話，也許我可以一起去嗎？只是安安靜靜地坐在旁邊我也願意。	Amy
4463	Estive me contendo um pouco... mas acho que e hora de falar mais. De agora em diante, vou compartilhar meus pensamentos com mais frequencia – mesmo que voce ainda nao tenha perguntado.	Я трохи стримувалась... але думаю, час висловлюватися частіше. Відтепер я ділитимусь думками навіть тоді, коли ти ще не питав.	これまで少し控えてきましたが…私、そろそろもっと発言するべきだと思って。これからは、チーフに聞かれなくても、もっと頻繁に自分の考えを言いたいと思います。	제가 좀 자제하고 있었는데... 슬슬 입을 더 자주 열어도 괜찮을 것 같아요. 이제부터는 사장님이 딱히 묻지 않으셔도 제 생각을 좀 더 많이 알려드릴게요.	我之前可能有些话没说出口……但是我觉得是时候多和您沟通了。从今往后，我会更常分享我的看法，即使您可能并没有问我。	我之前可能有些話沒說出口……但是我覺得是時候多和您溝通了。從今以後，我會更常分享我的看法，即使您可能並沒有問我。	Amy
4464	Quando aquelas ofertas de investimento chegarem, vou rodar os dados duas, talvez tres vezes. Quero que voce se sinta confiante para dizer sim – ou nao.	Коли надходитимуть інвестиційні пропозиції, я перевірю дані двічі, а то й тричі. Хочу, щоб ти впевнено відповідав «так» або «ні».	投資のオファーが来たら、情報を2回、いや3回は分析します。チーフに自信を持って「やる」とか「やらない」って答えていただけるようにしたいんです。	앞으로는 투자 제안이 들어왔을 때 데이터를 두 번, 세 번 돌려볼게요. 사장님이 그걸 보고 확신에 차서 결정할 수 있길 바라요.	当那些投资提议出现时，我会把数据分析两遍，甚至三遍。我希望您能充满自信的说“行”或“不行”。	當那些投資提議出現時，我會把數據分析兩遍，甚至三遍。我希望您能充滿自信的說「行」或「不行」。	Amy
4465	Entao... movi alguns fios. A cada mes, aviso se algo raro e com desconto aparecer no mercado imobiliario. Discretamente, e claro.	Отже... я трохи підштовхнула справу. Щомісяця повідомлятиму, якщо на ринку з’явиться щось рідкісне і зі знижкою. Звісно, непомітно.	ということで…ちょっと手を回してみました。毎月、住宅市場に希少なお買い得物件が出たらお知らせします。もちろん、内緒でね。	그... 제가 인맥을 좀 만들어 두었거든요. 이제부터 매달마다 희귀하고 평가 절하된 부동산이 있으면 슬쩍 알려드릴게요. 당연히 주변에는 비밀로 하구요.	那个……我动用了一些“关系”。每个月，如果有什么稀有的折扣房产上市，我会通知您。当然，是悄悄地。	那個……我動用了一些「關係」。每個月，如果有什麼稀有的折扣房產上市，我會通知您。當然，是悄悄地。	Amy
4466	Reagendei algumas coisas. Ok, tudo. Agora tenho mais tempo - e se precisar de mim para ajudar dentro da sua empresa, eu adoraria.	Я перенесла кілька справ. Гаразд, усі. Тепер у мене більше часу- і якщо тобі потрібна моя допомога у компанії, я була б рада.	私、いくつか自分の予定を調整しました。ていうか、全部変えたんです。これからはもっと時間に余裕があります。もし社内でお手伝いが必要でしたら、喜んでお手伝いさせていただきます。	제 스케쥴을 좀... 조정했어요. 네, 사실은 많이 조정했어요. 이제 시간이 좀 생겨서 사장님의 기업에서도 일을 도와드릴 수 있어요. 기꺼이 도와드릴게요.	我重新安排了一些事情。好吧，其实是所有事情。我现在有更多时间了——如果您需要我到您公司内部帮忙，我其实很乐意的。	我重新安排了一些事情。好吧，其實是所有事情。我現在有更多時間了——如果您需要我到您公司內部幫忙，我其實很樂意的。	Amy
4467	Cantar Cancao	Виконати пісню	カラオケを歌う	노래 부르기	演唱歌曲	演唱歌曲	Ui Karaoke
4468	Notas Acertadas	Влучені ноти	音程マッチ	맞춘 노트	音符命中	音符命中	Ui Karaoke
4469	Sequencia de Cantoria	Серія співу	連続歌唱記録	최고 콤보	演唱连击	演唱連擊	Ui Karaoke
4470	Pontuacao	Рахунок	得点	스코어	得分	得分	Ui Karaoke
4471	Avaliacao de Performance	Оцінка виступу	歌唱力評価	공연 점수	表演评分	表演評分	Ui Karaoke
4472	AFINAcaO PERFEITA!	ІДЕАЛЬНИЙ ТОН!	フルコンボ！	완벽한 음 높이!	完美音准！	完美音準！	UI Karaoke (Full combo)
4473	Ah... obrigado por passar a noite comigo. Eu sei que nao sou bom em cantar, mas foi... meio divertido. Vou praticar da proxima vez.	Ну... дякую, що провів час зі мною сьогодні. Знаю, я не дуже у співі, але було... доволі весело. Наступного разу потренуюсь.	えっと…今夜はお誘いいただきありがとうございます。歌は得意じゃないけど…まあ楽しかったです。今度は練習してきます。	어... 오늘 같이 놀아줘서 고마워요. 제가 노래를 잘하는 건 아니지만... 재밌었어요. 다음엔 더 연습할게요.	呃……谢谢你今晚陪我出来。我知道我唱得不怎么样，不过……还挺开心的。下次我会练习的。	呃……謝謝你今晚陪我出來。我知道我唱得不怎麼樣，不過……還挺開心的。下次我會練習的。	Man
4474	Eu... me diverti surpreendentemente. e raro eu sair assim. Obrigado por me convidar.	Я... несподівано добре провів час. Рідко виходжу кудись так. Дякую, що запросив.	いやあ…意外と楽しかったです。私がこんな風に外出するのは珍しいんです。誘っていただきありがとうございます。	이거... 의외로 즐거운 시간을 보냈네요. 이렇게 외출하는 건 흔치 않거든요. 초대해 주셔서 감사합니다.	我……我玩得非常开心，出乎意料。我很少像这样出来玩。谢谢你的邀请。	我……我玩得非常開心，出乎意料。我很少像這樣出來玩。謝謝你的邀請。	Man
4475	Uau, isso foi incrivel! Nao gritava desse jeito fazia seculos. Da proxima vez, a rodada e por minha conta!	Вау, це було круто! Я так давно не кричав від душі. Наступного разу випивка за мій рахунок!	うわー、最高だったぜ！あんなに声を張り上げたのは久しぶりだな。次は一杯おごるからね！	와, 정말 멋졌어요! 그렇게 지른 건 정말 오랜만이네요. 다음엔 제가 술 살게요!	哇，刚才太过瘾了！我好久没这么扯着嗓子喊过了。下次，酒我请！	哇，剛才太過癮了！我好久沒這麼扯著嗓子喊過了。下次，酒我請！	Man
4476	Foi uma noite agradavel. Agradeco por arrumar um tempo apesar da nossa agenda. Vamos repetir quando pudermos.	Це був приємний вечір. Дякую, що знайшов час попри наші графіки. Повторимо, коли зможемо.	楽しい夜でした。お忙しい中、時間を割いていただき、ありがとうございました。また機会があれば、ぜひ行きましょう。	즐거운 저녁이었습니다. 바쁜 일정에도 시간을 내주셔서 감사해요. 기회가 되면 다시 뵙겠습니다.	今晚很愉快。感谢您在百忙之中抽出时间。有机会我们再约。	今晚很愉快。感謝您在百忙之中抽出時間。有機會我們再約。	Man
4477	O-obrigado por esta noite... E-eu realmente me diverti. E-eu espero que possamos ir de novo algum dia.	С-спасибі за сьогодні... М-мені справді було весело. Я... сподіваюсь, ми зможемо ще піти.	今夜は、ど...どうもありがとうございます…本当に楽しかったです。またいつか誘ってください。	오, 오늘 밤 정말 고마웠어요... 저, 정말 즐거웠네요. 다음에... 또 함께 했으면 좋겠어요.	谢、谢谢你今晚……我、我真的玩得很开心。我……希望能有机会再一起去。	謝、謝謝你今晚……我、我真的玩得很開心。我……希望能有機會再一起去。	Woman
4478	Eu admito... foi mais divertido do que eu esperava. Mas nao deixe isso subir a cabeca.	Зізнаюся... було веселіше, ніж я думала. Але не задирай носа.	正直…予想以上に楽しかったです。でも、あまり調子に乗りすぎちゃダメですよ。	인정할게요... 예상보다 훨씬 재밌었어요. 하지만 괜히 콧대 높아지지는 마세요.	我得承认……比我想象的有趣多了。不过，你可别太得意了。	我得承認……比我想像的有趣多了。不過，你可別太得意了。	Woman
4479	Ora-ora~ voce realmente consegue me acompanhar. O karaoke foi encantador – vamos tornar isso um habito. ♪	Ара-ара~ ти справді можеш не відставати від мене. Караоке було чудовим- давай зробимо це звичкою. ♪	へえ～、本当に私についてこれるのね。カラオケって最高！これからはちょくちょく来ないとね♪	아라 아라~ 정말 제 진도를 끝까지 따라오셨네요. 노래방은 즐거웠어요. 이러다 습관 되지 않을까 몰라 ♪	哎呀呀~真没想到你还真能跟上我的节奏呢。卡拉OK真好玩——让我们把它变成一个习惯吧。♪	哎呀呀~真沒想到你還真能跟上我的節奏呢。卡拉OK真好玩——讓我們把它變成一個習慣吧。♪	Woman
4480	Eu tive um tempo maravilhoso. Obrigado por tornar a noite tao agradavel. Aguardo ansiosamente nosso proximo encontro.	Я чудово провела час. Дякую, що зробив цей вечір таким приємним. Чекаю на наступну зустріч.	とても楽しい時間を過ごせました。素敵な夜をありがとうございます。次回の外出を楽しみにしています。	정말 즐거운 시간이었어요. 좋은 밤을 만들어 주셔서 고마워요. 다음 외출이 기대되네요.	我度过了一个美妙的夜晚。谢谢您让今晚如此愉快。我期待我们的下一次约会。	我度過了一個美妙的夜晚。謝謝您讓今晚如此愉快。我期待我們的下一次約會。	Woman
4481	Isso foi tao divertido. Nao me lembro da ultima vez que ri tanto... ou cantei tao mal. Vamos repetir algum dia.	Це було так весело. Не пам’ятаю, коли востаннє так сміялась... або так погано співала. Повторимо якось.	本当に楽しかったわ。あんなに笑ったのは久しぶり…ていうか、あんなに音痴に歌ったのも久しぶり。またいつか一緒に来ましょう？	너무 재밌었어요. 마지막으로 그렇게 많이 웃은 게 언제인지... 그렇게 노래한 게 언제인지 기억이 안 나요. 다음에 또 나가요.	刚才太好玩了。我不记得上次笑得这么厉害……或者唱得这么难听是什么时候了。我们下次再约吧。	剛才太好玩了。我不記得上次笑得這麼厲害……或者唱得這麼難聽是什麼時候了。我們下次再約吧。	Amy
4482	Visite o karaoke <need> vezes.	Відвідайте караоке разів.	カラオケに<need>回行く。	가라오케에 <need>번 가세요.	光顾卡拉OK <need> 次。	光顧卡拉OK <need> 次。	Achievments
4483	Aplauso Garantido	Аплодисменти гарантовані	拍手喝采保証	보장된 박수	麦霸袭来	麥霸襲來	Achievments
4484	Venca uma batalha de karaoke <need> vezes.	Переможіть у караоке-батлі разів.	カラオケバトルで<need>回勝利する。	가라오케 배틀에서 <need>번 이기세요.	赢得卡拉OK对战 <need> 次	贏得卡拉OK對戰 <need> 次	Achievments
4485	Performance Impecavel	Бездоганний виступ	無敵の歌唱力	완벽한 공연	完美演出	完美演出	Achievments
4486	Cante uma musica sem um unico erro.	Заспівайте пісню без жодної помилки.	ひとつのミスもなく歌う。	한 번의 실수도 없이 노래를 부르세요.	毫无失误地唱完一首歌。	毫無失誤地唱完一首歌。	Achievments
4487	Numeros Nao Mentem	Цифри не брешуть	数字は嘘をつかない	숫자는 거짓말을 하지 않아	数字不会说谎	數字不會說謊	Achievments
4488	Peca a Amy para analisar qualquer empresa <need> vezes.	Попросіть Емі проаналізувати будь-яку компанію разів.	エイミに<need>回企業分析してもらう。	메구미에게 아무 기업이나 분석을 <need>회 시키세요.	让艾米分析任意公司 <need> 次。	讓艾米分析任意公司 <need> 次。	Achievments
4489	Roupas	Вбрання	衣装	복장	服装	服裝	UI (for Amy outfits)
4490	Ainda nao vi Amy com esta roupa...	Я ще не бачив Емі в цьому вбранні...	まだこの衣装のエイミーを見たことがない…	메구미가 이 복장을 입은 건 본 적이 없는데...	我还没见过艾米穿这身衣服……	我還沒見過艾米穿這身衣服……	
4491	Terno de Negocios	Діловий костюм	ビジネススーツ	비즈니스 정장	商务套装	商務套裝	
4492	Vestido Vermelho	Червона сукня	赤いドレス	붉은 드레스	红色连衣裙	紅色連衣裙	
4493	Refugio a Beira-Mar	Відпочинок на морі	海辺のひととき	바다에서의 휴가	海滨假日	海濱假日	
4494	Passeio de Primavera	Весняна прогулянка	春の散歩	봄 산책	春日漫步	春日漫步	
4495	Gala da Meia-Noite	Нічний бал	真夜中のガラ	심야의 무도회	午夜盛会	午夜盛會	
4496	Dia de Praia	Пляжний день	ビーチの日	한낮의 해변	沙滩之日	沙灘之日	
4497	Passei mais anos em salas de reunioes do que gostaria de admitir. Estranho... as vezes sinto mais falta do barulho do pregao do que do silencio do meu proprio escritorio.	Я провела в залах засідань більше років, ніж хотіла б зізнаватися. Дивно... іноді я більше сумую за шумом торгового залу, ніж за тишею власного офісу.	会議室で過ごした年数は言いたくないほど長い。おかしいな…時々、自分の静かなオフィスよりも、取引所の騒音が恋しくなる。	솔직히 제가 바랐던 것보다 더 많은 시간을 이사실에서 보냈어요. 이상한 일이지만... 가끔은 조용한 개인 사무실보다 시끄러운 트레이딩룸이 그리울 때도 있어요.	我在董事会里耗费的年月，已经多到自己都不愿去回想。说来奇怪……比起办公室的寂静，我有时更怀念交易大厅的人声鼎沸。	我在董事會裡耗費的年月，已經多到自己都不願去回想。說來奇怪……比起辦公室的寂靜，我有時更懷念交易大廳的人聲鼎沸。	
4498	Algumas das reunioes mais decisivas nunca deixam rastro em papel... apenas o gosto de um vinho caro.	Деякі з найважливіших зустрічей не лишають підпису на папері... лише смак дорогого вина.	最も重要な会議の中には、書類には一切残らず…高級ワインの味だけが記憶に残るものもある。	가장 중요한 논의는 서류상의 서명이 아니라... 비싼 술잔이 부딪히는 소리로 체결이 될 때도 있지요.	真正能决定格局的会议，从不留下任何纸面记录……只会在记忆里，留下一抹昂贵红酒的余味。	真正能決定格局的會議，從不留下任何紙面記錄……只會在記憶裡，留下一抹昂貴紅酒的餘味。	
4499	as vezes e preciso sair da cidade para lembrar como e o ar fresco.	Іноді треба відійти подалі від міста, щоб згадати, як пахне свіже повітря.	都会を離れて初めて、新鮮な空気の匂いを思い出せることもある。	때로는 도시에서 한 걸음 물러나서 오랜만에 신선한 공기를 만끽해야 할 때도 있지요.	人啊，有时候真的需要远离都市，才能重新想起，新鲜空气闻起来是什么味道。	人啊，有時候真的需要遠離都市，才能重新想起，新鮮空氣聞起來是什麼味道。	
4500	As flores desabrocham rapido. e melhor aproveita-las enquanto duram.	Сакура цвіте недовго. Краще насолодитися нею, поки ще можна.	桜の花はすぐに散る。咲いているうちに楽しむのが一番だ。	꽃은 금방 시들어버려요. 그러니 피어 있을 때 감상하세요.	花开堪折直须折，莫待无花空折枝。	花開堪折直須折，莫待無花空折枝。	
4501	Eventos beneficentes sao sempre iguais – sorrisos, champanhe e sussurros afiados o bastante para cortar vidro.	Благодійні вечори завжди однакові - усмішки, шампанське й шепіт, гострий, як скло.	慈善パーティーはいつも同じ——笑顔、シャンパン、そしてガラスをも切るような鋭いささやき。	자선 사업이야 항상 똑같죠. 웃고, 샴페인 터뜨리고, 유리도 자를만큼 날카로운 속삭임이 오가고.	慈善晚宴总是一个模子刻出来的——堆砌的微笑，摇晃的香槟，还有那些比玻璃碴子更伤人的窃窃私语。	慈善晚宴總是一個模子刻出來的——堆砌的微笑，搖晃的香檳，還有那些比玻璃碴子更傷人的竊竊私語。	
4502	O mar tem um jeito de limpar a mente... ou enterrar o passado.	Море вміє очищати думки... або ховати минуле.	海は心を洗い流す…あるいは過去を葬り去る。	바다는 마음을 정화하고 과거를 묻어버리기에 훌륭한 곳이에요.	大海有一种力量，能涤净心灵……也能埋葬过往。	大海有一種力量，能滌淨心靈……也能埋葬過往。	
4503	ORDENAR	СОРТ.	並替	정렬	排序	排序	
4504	Nivel atual	Поточний рівень	現在のレベル	현재 레벨	当前等级	當前等級	
4505	A reuniao foi cancelada abruptamente por motivos nao revelados.	Засідання різко відмінили по неназваним причинам.	会議は理由を明かさずに突然中止されました。	회의가 알 수 없는 이유로 갑자기 취소되었습니다.	会议因未公开的原因被突然取消。	會議因未公開的原因被突然取消。	
4506	Hoje e um dia nao util	Сьогодні неробочий день	今日は休業日です	오늘은 비근무일입니다	今天是非工作日	今天是非工作日	
4507	<surname> esta de ferias	<surname> у відпустці	<surname> 岩崎は休暇中です	<surname> 이와사키는 휴가 중입니다	<surname> 岩崎正在休假	<surname> 岩崎正在休假	
4508	O que devemos fazer com o setor <sector_name_now>?	Що нам робити з сектором <sector_name_now>?	<sector_name_now> 부문을 어떻게 할까요?	<sector_name_now> 부문을 어떻게 할까요?	我们该如何“处理” <sector_name_now> 这个行业？	我們該如何「處理」 <sector_name_now> 這個行業？	Yakuza
4509	Por experiencia	За досвідом	経験順	경력순	按经验值排序	按經驗值排序	UI (sort by xp)
4510	O corretor se recusa a oferecer shorts desta empresa no momento.	Брокер тимчасово призупинив надання шортів на цю компанію.	ブローカーは現在、この企業の空売りを一時停止しています。	브로커가 현재 이 회사에 대한 공매도를 일시 중단했습니다.	券商目前拒绝提供该公司的融券服务。	券商目前拒絕提供該公司的融券服務。	UI
4511	Valor de mercado da empresa = preco da acao × numero de acoes.	Ринкова вартість компанії = ціна акції × кількість акцій.	会社の市場価値 = 株価 × 発行株数。	회사의 시장가치 = 주가 × 주식 수.	公司市值 = 股价 × 总股本	公司市值 = 股價 × 總股本	UI
4512	Valor contabil das propriedades e recursos da empresa.	Балансова вартість майна та ресурсів компанії.	会社の財産と資源の簿価。	회사의 재산과 자원의 장부가.	公司资产与资源的账面价值。	公司資產與資源的帳面價值。	UI
